sampling_point_id,url,name,lat,lon,easting,northing,status,type,area,distance_to_source_km
NE-44100119,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100119.json,TUNSTALL RESERVOIR NEAR DAM WALL WEST,54.762431,-1.902397,406378,540839,open,FRESHWATER - LAKES/PONDS/RESERVOIRS,Northumberland Durham and Tees,23.787302829282346
NE-44100150,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100150.json,HAMSTERLEY STW FINAL EFFLUENT,54.671077,-1.81335,412135,530685,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,31.89822431707118
NE-44100157,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100157.json,FIR TREE STW FINAL EFFLUENT,54.702625,-1.78892,413700,534200,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,32.21272295671968
NE-44100163,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100163.json,WOLSINGHAM STW FINAL EFFLUENT,54.717084,-1.841624,410300,535800,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,28.52171894654252
NE-44100166,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100166.json,TOW LAW STW FINAL EFFLUENT,54.741412,-1.823667,411450,538510,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,29.093977876604797
NE-44100171,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100171.json,ROOKHOPE STW FINAL EFFLUENT,54.771431,-2.090738,394260,541840,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,11.664937380660978
NE-44100198,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100198.json,WEAR DOWNSTREAM OF BROADWOOD QUARRY,54.726926,-1.946703,403530,536885,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,21.726516485382884
NE-44100221,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100221.json,WEAR AT WEST BLACKDENE,54.744072,-2.205018,386899,538811,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,5.97817412539943
NE-44100241,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100241.json,BURNHOPE RESERVOIR,54.747365,-2.241759,384535,539185,open,FRESHWATER - LAKES/PONDS/RESERVOIRS,Northumberland Durham and Tees,4.264409785836939
NE-44100242,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100242.json,WASKERLEY BECK AT WOLSINGHAM,54.731957,-1.881165,407750,537450,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,25.66335252095466
NE-44100243,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100243.json,HOUSELOP BECK AT A689 (AKA BRADLEY BECK),54.720169,-1.837358,410574,536144,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,28.70220530474782
NE-44100244,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100244.json,BEDBURN BECK AT HOWLEA BRIDGE,54.682559,-1.829583,411085,531960,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,30.45063613100928
NE-44100245,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100245.json,LINBURN BECK AT WITTON CASTLE,54.664403,-1.772995,414740,529950,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,34.57927804874748
NE-44100247,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100247.json,BOLLIHOPE BURN AT WHITE KIRKLEY,54.718708,-1.960452,402645,535970,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,21.16689774419881
NE-44100248,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100248.json,STANHOPE BURN AT STANHOPE,54.748872,-2.016863,399012,539326,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,16.752272516520534
NE-44100257,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100257.json,AD HOC SAMPLES IN AREA 241,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-44100325,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100325.json,ROOKHOPE BURN U/S FRAZERS GROVE LAGOONS,54.779571,-2.132111,391600,542750,closed,FRESHWATER - RIVERS,Northumberland Durham and Tees,8.958666957976511
NE-44100337,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100337.json,WESTERN AREA STW - WHEN FLOWS > 8.3L/S,54.735998,-2.121098,392300,537900,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,10.915672780090453
NE-44100338,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100338.json,ROOKHOPE STW - FLOW EXCEEDS 2.1 L/S,54.771431,-2.090738,394260,541840,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,11.664937380660978
NE-44100343,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100343.json,WOLSINGHAM STW WHEN FLOW > 20 L/S,54.716993,-1.841314,410320,535790,open,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,Northumberland Durham and Tees,28.54354924570833
NE-44100344,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100344.json,FROSTERLEY STW WHEN FLOW > 5.2 L/S,54.727144,-1.933039,404410,536910,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,22.56307219595885
NE-44100347,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100347.json,WEAR VALLEY WTW - WASHWATER CLARIFIER,54.747784,-2.234227,385020,539230,open,TRADE DISCHARGES - PROCESS EFFLUENT - WATER COMPANY (WTW),Northumberland Durham and Tees,4.46393818663243
NE-44100350,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100350.json,LOW WADSWORTH STW CRUDE INLET,54.674642,-1.726416,417740,531100,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,36.98120374999015
NE-44100352,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100352.json,WOLSINGHAM STW CRUDE INLET,54.717624,-1.842243,410260,535860,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,28.46803394439289
NE-44100356,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100356.json,WELLHOPE BURN (H),54.769206,-2.257433,383535,541619,closed,FRESHWATER - UNSPECIFIED,Northumberland Durham and Tees,1.6553189863542934
NE-44100357,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100357.json,KILLHOPE BURN N OF WEST FALL (WEARHEAD(M,54.753616,-2.224752,385632,539877,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,4.332276913208361
NE-44100358,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100358.json,SEDLING BURN U/S OF BURTREE PASTURE (K),54.760797,-2.224481,385652,540676,open,FRESHWATER - UNSPECIFIED,Northumberland Durham and Tees,3.813543275437697
NE-44100359,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100359.json,SEDLING BURN AT CULVERT ISSUE (L),54.760274,-2.225395,385593,540618,closed,FRESHWATER - UNSPECIFIED,Northumberland Durham and Tees,3.803058871828591
NE-44100363,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100363.json,KILLHOPE BURN AT KILLHOPEBURN BRIDGE (G),54.770248,-2.257408,383537,541735,open,FRESHWATER - UNSPECIFIED,Northumberland Durham and Tees,1.5612374434077223
NE-44100365,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100365.json,KILLHOPE BURN AT COWSHILL (I),54.759602,-2.228919,385366,540544,closed,FRESHWATER - UNSPECIFIED,Northumberland Durham and Tees,3.678243987322626
NE-44100366,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100366.json,COWHORSE LEVEL DISCHARGE (F),54.774099,-2.259314,383416,542164,closed,MINEWATER,Northumberland Durham and Tees,1.1536516765784375
NE-44100367,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100367.json,BURTREE PASTURE DISCHARGE (J),54.760626,-2.224496,385651,540657,open,MINEWATER,Northumberland Durham and Tees,3.824340608136548
NE-44200015,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44200015.json,GAUNLESS AT WEST AUCKLAND,54.634495,-1.717003,418365,526635,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,39.212986018767644
NE-44200024,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44200024.json,RAMSHAW STW FINAL EFFLUENT,54.628438,-1.763436,415370,525950,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,36.8318061091696
NE-44200028,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44200028.json,COCKFIELD STW FINAL EFFLUENT,54.618157,-1.792454,413500,524800,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,35.75987119589222
NE-44200032,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44200032.json,BUTTERKNOWLE (LYNESACK & SOFTLEY) STW,54.624765,-1.822467,411560,525530,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,33.72535288855378
NE-44200038,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44200038.json,NEW MOORS STW FINAL EFFLUENT,54.610869,-1.741398,416800,524000,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,39.01180544214055
NE-44200088,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44200088.json,HUMMER BECK AT HUMMERBECK BRIDGE,54.623739,-1.710263,418805,525440,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,40.1198995797273
NE-44300004,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300004.json,WEAR AT SUNDERLAND BRIDGE,54.733972,-1.589666,426520,537745,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,44.08485313450748
NE-44300006,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300006.json,WEAR AT WILLINGTON,54.703503,-1.677542,420877,534325,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,39.117482497138795
NE-44300009,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300009.json,SUNDERLAND BRIDGE (OLD) STW FINAL EFF,54.73308,-1.591694,426390,537645,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,43.968209751574236
NE-44300013,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300013.json,SUNDERLAND BRIDGE (NEW) STW FINAL EFF,54.732678,-1.592164,426360,537600,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,43.94400508957433
NE-44300021,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300021.json,WILLINGTON STW FINAL EFFLUENT,54.70516,-1.675155,421030,534510,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,39.225797614767906
NE-44300025,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300025.json,NEWFIELD CHALLIES ST STW FINAL EFFLUENT,54.695853,-1.690124,420070,533470,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,38.535448400471296
NE-44300028,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300028.json,VINOVIUM STW FINAL EFF (BISHOP AUCKLAND),54.680246,-1.684194,420460,531735,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,39.37255855160989
NE-44300030,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300030.json,CROXDALE BECK AT CROXDALE HALL,54.735349,-1.579589,427168,537902,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,44.70819096236882
NE-44300056,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300056.json,KELLOE (EAST HETTON) STW,54.717042,-1.47543,433890,535910,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,51.60758398830955
NE-44300075,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300075.json,GAUNLESS UPSTREAM OF RIVER WEAR,54.670941,-1.669365,421421,530704,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,40.59154537005016
NE-44300090,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300090.json,TUDHOE MILL STW FINAL EFFLUENT,54.71442,-1.615087,424895,535560,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,42.80149620611746
NE-44300116,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300116.json,VALLEY BURN U/S RIVER WEAR,54.717149,-1.625695,424210,535860,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,42.07720001203442
NE-44300126,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300126.json,AD HOC SAMPLES IN AREA 243,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-44300233,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300233.json,COXHOE QUARRY AGGREGATE WASH SETTLEMENT,54.711242,-1.464485,434600,535270,open,TRADE DISCHARGES - PROCESS EFFLUENT - NOT WATER COMPANY,Northumberland Durham and Tees,52.39930702761476
NE-44300234,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300234.json,VINOVIUM STW CRUDE INLET,54.677318,-1.681425,420640,531410,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,39.6382538720218
NE-44300235,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300235.json,TUDHOE MILL STW CRUDE INLET,54.715849,-1.612202,425080,535720,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,42.95576299744202
NE-44300238,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300238.json,WILLINGTON STW CRUDE INLET,54.617009,-1.678489,420860,524700,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,42.28645527523562
NE-44300239,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300239.json,BOWBURN STW CRUDE INLET,54.727249,-1.532283,430220,537020,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,47.83466405893127
NE-44300240,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300240.json,BOWBURN STW FINAL EFFLUENT,54.726538,-1.534155,430100,536940,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,47.725993620206246
NE-44300242,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300242.json,KELLOE (EAST HETTON) STW CRUDE INLET,54.716947,-1.474345,433960,535900,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,51.67806639625674
NE-44300243,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300243.json,BRANCEPETH (NEW) STW,54.732144,-1.651646,422530,537520,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,40.16788415252461
NE-44300245,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300245.json,WEAR U/S WILLINGTON STW OUTFALL,54.704529,-1.674461,421075,534440,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,39.28482032620484
NE-44300246,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44300246.json,WEAR U/S WILLINGTON STW OUTFALL SED <63U,54.704538,-1.674461,421075,534441,closed,FRESHWATER - RIVERS,Northumberland Durham and Tees,39.28459791584527
NE-443F0138,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-443F0138.json,BANKDAM FARM 24-3-511,54.740507,-1.435721,436427,538541,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,53.83306378860846
NE-44400007,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400007.json,BROWNEY AT A167,54.738234,-1.587526,426655,538220,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,44.164641920839145
NE-44400011,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400011.json,DEERNESS AT A690,54.762781,-1.605382,425490,540945,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,42.79331546309824
NE-44400025,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400025.json,BROWNEY STW FINAL EFFLUENT,54.741693,-1.600772,425800,538600,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,43.27702687261407
NE-44400067,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400067.json,ESH WINNING STW FINAL EFFLUENT,54.774484,-1.689679,420060,542220,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,37.33836001698756
NE-44400163,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400163.json,DEERNESS U/S PRIEST BURN,54.774308,-1.687659,420190,542201,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,37.46837400602121
NE-44400203,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400203.json,ALDIN GRANGE SOUTH STW,54.780379,-1.614384,424900,542900,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,42.15586160214049
NE-44400212,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400212.json,BROWNEY STW CRUDE INLET,54.742144,-1.601389,425760,538650,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,43.23229673984003
NE-44400259,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44400259.json,ESH WINNING CRUDE INLET,54.775296,-1.691072,419970,542310,open,SEWAGE - CRUDE TO FURTHER TREATMENT - WATER COMPANY,Northumberland Durham and Tees,37.24686783393469
